Point_ID,X_Position,Y_Position,Z_Position,Intensity,Return_Number,Number_of_Returns,Scan_Angle,Scan_Time,Classification
1,374.54011884736246,393.6355202774421,37.36408184666985,127.41591215090862,2,2,-24.457749643446203,0.6381445683721739,0
2,950.7143064099162,473.43565937502143,33.291209623140325,190.42042699071152,2,3,-26.354776224718798,0.4592924535341931,1
3,731.9939418114051,854.5473932021803,17.615391250286006,143.48002906736494,4,3,6.251517044619845,0.9644985248639408,3
4,598.6584841970366,340.0043860598921,60.726667010148795,21.24215869350808,1,1,27.966979349565285,0.21897845098423818,2
5,156.01864044243652,869.6496848121714,47.66241605086289,47.322960379806624,1,3,0.1632785372834391,0.5878564159989407,3
6,155.99452033620264,88.13443097669149,86.57009923240037,55.92868692788438,3,2,-26.90908644364169,0.7002100149902226,2
7,58.08361216819946,776.7984372086307,3.2109580482058253,65.75538467943545,4,1,-16.72688063535263,0.8255644893453816,0
8,866.1761457749352,847.5476330547364,64.38679275551263,144.1778649473786,3,4,-15.31242561505376,0.4069710304280071,2
9,601.1150117432088,181.81765283733876,76.29488785115612,128.51127385547534,2,4,-9.728572251783,0.6869219076574815,3
10,708.0725777960455,430.34653237220044,75.94865691883071,51.805809782873276,1,1,-27.383796984827242,0.3032014713842828,1
11,20.584494295802447,165.49977466365561,88.60739670955252,17.226485081200202,3,3,24.293562029874977,0.4354760923618203,3
12,969.9098521619943,706.6041289942177,72.9033742829494,43.71521214105311,3,1,0.9338366832897158,0.8956271312033992,1
13,832.4426408004217,535.3477680616568,92.78100616476964,251.01723471774383,1,1,10.255847577246541,0.9499076093309543,1
14,212.33911067827614,635.323346708321,33.26565998208915,119.47947219682543,2,3,-25.969629786299464,0.7188173469272647,1
15,181.82496720710063,196.48696695621115,50.32094167515431,221.17310369903868,3,4,-26.753071931781037,0.374351890776185,2
16,183.4045098534338,211.7458620524195,1.4079663282890675,216.43187900055503,3,1,5.188066322432832,0.820057789974664,0
17,304.24224295953775,41.49732550990637,0.6957587303291213,130.4374871530328,4,4,23.23776063025248,0.025867081725420182,0
18,524.7564316322379,322.0675351957297,24.012662045151988,180.2053656574386,4,2,1.7089200575728185,0.10274591053942106,0
19,431.94501864211577,559.7446613336749,10.080719713908525,49.15176265524163,1,3,22.66915035420429,0.6613737363753611,1
20,291.22914019804193,857.9349139973287,26.021136793575362,175.54115975636162,1,2,18.659476383314356,0.29124857527005743,2
21,611.8528947223795,666.9274474586807,17.70432945283974,69.45806771213883,2,4,-25.448772852304756,0.9513862184004778,2
22,139.49386065204183,435.39632339975145,2.852002483864824,212.17583467230844,2,2,-17.882551536858607,0.43606061209230473,2
23,292.14464853521815,953.1201143941378,90.93041464060494,21.34965394277203,3,2,9.46264014932055,0.429364820389177,3
24,366.3618432936917,719.2452005758319,0.8223131388891525,197.15036158574577,4,2,-3.389917046997507,0.6780795101909313,2
25,456.06998421703594,930.16520286255,73.60821443370854,25.48391117499798,2,1,-12.558011181184767,0.7675685623061896,2
26,785.1759613930136,527.5879732721656,15.214788691951654,224.7032554080488,3,1,-4.881968637121254,0.4755587381251365,2
27,199.67378215835973,258.9042747931396,91.22296219996,77.57215212442594,3,3,-3.2880212237619375,0.21400090171172415,0
28,514.2344384136117,52.826686364721986,89.27959395898858,166.87030803179655,1,4,24.633135049295788,0.7733086427256216,1
29,592.4145688620424,726.0848514838505,65.39011463692573,124.31308104817136,4,4,-23.792502977702817,0.3203512748736276,3
30,46.45041271999772,121.30299800553412,67.22341498006051,93.40730204189644,3,3,-13.216155191543098,0.1751107692938576,0
31,607.5448519014384,302.77512827196716,0.5339141969688543,164.5876674617916,1,4,2.2538889949628356,0.6316401899250133,2
32,170.52412368729154,532.4709078838974,98.4871566113602,241.61836004056568,3,4,11.897215597835498,0.0904536669903504,1
33,65.05159298527951,564.4165877797477,87.78326035758144,10.523785580528573,4,2,7.838237337554617,0.9713526750860549,1
34,948.8855372533333,600.583196987136,89.5106225730092,234.3074782501916,3,2,26.49856426424367,0.632397264412137,1
35,965.6320330745593,166.25533034970064,65.92445370508719,155.31582203035845,3,4,17.73653548916839,0.9858955209217558,1
36,808.3973481164611,379.73740482164874,34.47869286545365,205.86514669610833,2,3,3.424610518465819,0.33889342347863605,2
37,304.6137691733707,617.1942271169667,89.36486490904808,97.88811312574079,2,3,-17.11903849958955,0.9712051611903979,3
38,97.67211400638386,969.8188646337848,29.151692815119233,120.3199585835915,1,4,-2.947546115865613,0.14556224772862358,2
39,684.2330265121569,727.6311376996887,56.271154334220284,221.5569417092968,3,3,11.60293465166864,0.04069477234702845,1
40,440.1524937396013,922.6037570939578,9.97309723438824,105.78623230150488,1,3,20.277730490165098,0.03298406045460256,2
41,122.03823484477883,762.212058314177,92.19556301327502,136.33818952101666,4,2,27.58417346534324,0.4648703705992271,1
42,495.17691011127016,591.7169688924005,14.077045777121333,5.149705386504891,1,3,6.327165968275061,0.08300419747859478,2
43,34.388521115218396,192.02336913634454,22.489680573040726,40.44249148870078,3,1,1.6151620382659466,0.5121678841676017,3
44,909.3204020787821,666.6856518925131,55.813415812821496,163.63005953357393,2,2,-28.938484612731102,0.3275005035089005,1
45,258.7799816000169,623.379565959907,76.40930002129815,182.82910977128867,2,1,-25.674055850989205,0.3356289924741156,2
46,662.522284353982,602.4691704572665,61.93513059362989,148.56323888004735,1,4,-20.633700141755984,0.6356089965451698,0
47,311.71107608941094,489.78586798824074,23.213391280015617,36.544059250280725,2,3,-26.714404128622316,0.16309800615162018,3
48,520.0680211778108,528.6566039892756,0.09430425274903342,113.57838428734789,3,1,-5.948205671704411,0.766553370339731,0
49,546.7102793432797,334.44252711810407,75.71505803074392,90.5491654226134,3,3,-9.78728729166767,0.5820309197786347,2
50,184.85445552552704,519.3126926423032,98.52073259110938,126.39364272894753,4,1,8.241249472103576,0.9149446288475109,3
51,969.5846277645586,197.55590567847824,80.99131203060904,221.93390381129404,2,2,2.139906476004164,0.3648406537675234,3
52,775.1328233611146,805.1743973603768,46.02066181566153,197.8446668579562,2,4,5.758245563271579,0.9827149920671255,3
53,939.4989415641891,185.7769546987078,90.37672613991066,21.417322854235533,4,1,-1.6813678237407537,0.5758276467140232,2
54,894.8273504276489,84.96628988946642,40.984767311835,227.0288454325139,1,2,-13.335771086744572,0.9734019561875338,3
55,597.8999788110851,436.24602635715735,52.493408424346754,120.30062354320502,4,4,27.169518896788624,0.02706065404711533,3
56,921.8742350231169,658.3074395060619,47.712976739568326,189.6848469459296,2,1,-24.815450414391663,0.727976322412388,0
57,88.4925020519195,437.7168249335414,44.762387266552494,35.710003972409794,1,1,26.33345996791843,0.8166215242927363,2
58,195.9828624191452,276.7541319513086,77.51907692939058,171.03347905529725,3,2,-11.32571718811592,0.053173286676487574,1
59,45.227288910538064,558.1711838904407,52.676890726949196,60.26313449041177,3,4,0.7596867220378449,0.5789696640162457,2
60,325.3303307632643,347.00233541219995,31.671712202521608,111.78712877093754,4,4,-23.469460630347232,0.8019422935894484,2
61,388.677289689482,932.8676901266331,25.81581676584783,4.300031870936624,3,2,-25.744135897739444,0.5610387252230727,3
62,271.3490317738959,922.645139603572,3.7747316967433386,38.66071267227139,2,3,-4.227273076883826,0.06381359040546664,0
63,828.7375091519293,502.37181997209547,58.3195161883046,23.48052574652304,4,2,14.50184258278069,0.6934472408983114,0
64,356.75332669358926,327.88399401825853,22.99614154010342,61.134764099255904,2,4,-13.838113347087063,0.06059691467330863,2
65,280.93450968738074,737.1324139566391,14.813392201638308,25.50461295620218,2,2,3.7408733361192006,0.8174688950164385,1
66,542.6960831582485,36.71294348306664,65.38299638276777,176.4370567879883,1,3,-13.280979568630901,0.043034183306694396,2
67,140.92422497476264,474.76900604365125,68.12092578215488,7.4051750633509394,1,2,-6.683216346417552,0.1373973810103708,1
68,802.1969807540397,336.32339427033355,75.21548922576659,157.5238276593745,1,2,24.386779108429486,0.2751075905232685,1
69,74.55064367977083,920.5358851025546,50.357689633859145,35.88049686052143,3,1,21.350377529695173,0.6333647922608,2
70,986.8869366005173,12.003027272682543,89.40546052038866,241.0161715803637,1,3,0.961052605057791,0.976359099631306,3
71,772.2447692966574,552.8148757183491,93.63427533982278,237.93898864301283,2,4,-15.713662351675275,0.11782285261993442,3
72,198.7156815341724,740.663581066626,80.73709397924894,57.50329114284547,4,3,-18.40896523601863,0.14270766921391842,1
73,5.522117123602399,485.01798752404125,63.55934820081872,156.67743104687253,4,4,27.245241182142856,0.3688703967009803,0
74,815.4614284548342,85.40303016272166,30.372095359118866,7.141356465476901,2,4,-17.83700420935875,0.8362191377553202,3
75,706.8573438476171,972.4613900279022,98.29449216202212,237.6060784780494,3,1,18.49009865475235,0.46723095275081417,3
76,729.0071680409873,518.0104313760979,27.413616719193833,133.36176358888596,4,3,-7.861787427867764,0.32161060025582167,1
77,771.2703466859457,614.1862443190114,20.265692199043105,11.021903611533643,2,1,29.139590853494298,0.5612038322088613,1
78,74.04465173409037,236.60978270750732,44.215411378658274,87.33749821707504,2,2,-7.910655578232728,0.26052319744575003,1
79,358.4657285442726,483.4980851068038,5.684057071238846,19.596612774614723,2,3,-8.909002505356433,0.40115990724752093,3
80,115.86905952512971,429.14949195832185,97.84944646717908,100.20083204020676,4,2,8.247817732657388,0.3326051492320419,3
81,863.1034258755935,74.89584200198374,58.84335564164248,170.8312172511374,4,3,27.691008397609153,0.8041410224146459,0
82,623.2981268275579,106.16035354746722,55.69520916641753,119.8219265505671,1,4,28.572576347785976,0.9242557264380008,0
83,330.8980248526492,837.4725196187745,65.57962798997198,97.84915455346089,1,2,12.432368788019112,0.7595721921569119,2
84,63.55835028602363,239.81995220659024,49.70236477772067,30.385046612818524,2,3,15.276381938181217,0.4390835760299835,1
85,310.9823217156622,194.95827149863055,3.2063517094541583,62.45945665188236,2,3,3.804130558381658,0.5043349774966638,3
86,325.183322026747,504.91145125013924,61.23112888403968,25.536538373279537,2,2,15.346544347939911,0.12507369392943568,0
87,729.6061783380641,768.747131362513,71.61738769564306,205.9121765724485,2,1,21.586779298229793,0.7468647111345378,1
88,637.5574713552131,61.94651857898792,41.67490606240531,34.486156136104256,4,3,-0.8342818082986057,0.5964756793950441,1
89,887.2127425763265,576.8079196382558,75.72955720711929,151.82020846996784,1,1,7.191735769806179,0.9024399961374364,2
90,472.2149251619493,119.21044284057336,22.70012993384206,87.3988054651557,3,1,2.2390017139828586,0.2006111435751532,1
91,119.5942459383017,36.46105082561846,22.127659106618403,57.62448808707179,2,1,3.7482368117206306,0.7597261219326121,0
92,713.244787222995,52.74395216221739,16.141698768757394,163.06445207048645,1,1,23.402874592436454,0.6846716617191897,2
93,760.7850486168975,834.1641082084413,37.19947597891618,116.53558889111986,2,1,-8.662990187665788,0.2658455338097522,3
94,561.2771975694963,117.97248362806157,84.70120353890836,102.03709415756258,4,4,-17.508958463962546,0.6673786395408251,2
95,770.967179954561,45.15136441229195,82.79120621490644,151.1772612475165,3,1,-2.623193383582251,0.9243733805766495,1
96,493.79559636439075,437.8998871429123,38.28242079635038,125.27324526495018,1,4,-17.51488857112409,0.9184359876671189,1
97,522.7328293819941,843.9934719420248,58.911873598023654,77.38847318064799,1,3,-0.09597446027885326,0.7196265745161413,0
98,427.54101835854965,262.40837648930193,72.08163164749156,142.56062838013918,3,4,24.210486321423517,0.0480731125340601,1
99,25.419126744095188,421.71261752591636,24.1206774628023,170.7221370204271,4,4,7.0460112289486645,0.8722643373201615,3
100,107.89142699330445,39.922532563751226,16.814108589474706,6.806755439647842,3,1,21.32597119818466,0.6577786070045399,0
101,31.42918568673425,449.0785141348759,97.2095993212311,118.79729087145722,1,3,-20.028544823069293,0.31043425318273443,1
102,636.4104112637804,577.6130806371336,61.75573132096185,14.709237568803662,3,3,24.052415552230606,0.1872503617056993,3
103,314.35598107632666,570.9070537521447,98.14157218336639,47.53338058736832,4,3,6.107229864426948,0.11620386299731711,0
104,508.5706911647028,332.42669217436514,33.77559871322291,142.92972718988312,4,2,-28.094412675571213,0.05023689925776098,1
105,907.5664739260931,315.5331806631355,70.30316999741315,220.87817339272308,2,4,7.98713731710221,0.7541032479507565,3
106,249.29222914887495,106.6236189365979,22.260363654123772,225.11544819306363,3,1,27.083817375655073,0.23584299894327532,3
107,410.38292303562974,366.7983206462684,26.120017127391293,17.835722585350975,3,2,-25.249979971478275,0.02425293604325507,2
108,755.5511385430486,99.49466887296465,51.1902121269624,106.87179700311019,1,1,4.947367828174329,0.3972706518419893,0
109,228.79816549162246,766.5959447120516,31.961812550807124,148.6666531661606,4,2,24.92871617218288,0.4826070805923389,2
